retailer_id,retailer_name,distributor_id,territory_id,outlet_type,town_name,pincode,onboard_date,status,deactivation_date
RET-00001,Jai Saraswati Stores - 02,DIST-001,T-WB-01,Kirana Store,Serampore,712201,2023-04-15,Active,
RET-00002,Maa Vishnu Bhandar - 12,DIST-007,T-WB-06,Kirana Store,Uluberia,711317,2023-04-15,Active,
RET-00003,Jai Kali Stores,DIST-001,T-WB-01,Kirana Store,Serampore,712201,2023-04-17,Active,
RET-00004,Pal Brothers - 02,DIST-002,T-WB-02,Kirana Store,Chinsurah,712101,2023-04-17,Active,
RET-00005,Haldar Brothers - 03,DIST-004,T-WB-04,Kirana Store,Bardhaman,713102,2023-04-17,Active,
RET-00006,Maa Vishnu Bhandar - 11,DIST-007,T-WB-06,Kirana Store,Uluberia,711317,2023-04-17,Inactive,2025-01-15
RET-00007,Jai Shiva Stores - 16,DIST-008,T-WB-07,Kirana Store,Asansol,713302,2023-04-18,Active,
RET-00008,Dey Provision Store - 07,DIST-010,T-WB-08,Kirana Store,Asansol,713304,2023-04-18,Active,
RET-00009,Jai Ganesh Stores - 07,DIST-006,T-WB-05,Kirana Store,Katwa,713131,2023-04-19,Active,
RET-00010,Patra Provision Store,DIST-005,T-WB-04,Kirana Store,Bardhaman,713102,2023-04-20,Active,
RET-00011,Sen General Store - 04,DIST-006,T-WB-05,General Store,Katwa,713130,2023-04-20,Active,
RET-00012,Jai Saraswati Stores - 21,DIST-010,T-WB-08,Kirana Store,Asansol,713321,2023-04-20,Active,
RET-00013,Jai Shiva Stores - 19,DIST-011,T-WB-09,Kirana Store,Durgapur,713204,2023-04-20,Active,
RET-00014,Bose & Sons - 06,DIST-008,T-WB-07,Kirana Store,Asansol,713302,2023-04-21,Active,
RET-00015,Dey & Sons - 05,DIST-010,T-WB-08,Kirana Store,Asansol,713305,2023-04-21,Active,
RET-00016,Jai Ganesh Stores - 11,DIST-007,T-WB-06,Kirana Store,Uluberia,711315,2023-04-22,Active,
