primary_sale_id,invoice_id,invoice_date,grn_date,distributor_id,sku_id,dispatched_qty,received_qty,invoice_value_inr
PRI-100001,INV-00004,2023-04-03,2023-04-05,DIST-004,OIL-MUS-0500M,48,47,3600
PRI-100002,INV-00004,2023-04-03,2023-04-05,DIST-004,OIL-MUS-1000M,108,107,14904
PRI-100003,INV-00004,2023-04-03,2023-04-05,DIST-004,OIL-MUS-5000M,40,39,22920
PRI-100004,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-COR-0100G,24,23,624
PRI-100005,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-COR-0200G,24,23,1104
PRI-100006,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-KKM-0050G,24,23,720
PRI-100007,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-KKM-0100G,24,23,1368
PRI-100008,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-PNP-0050G,24,23,456
PRI-100009,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-PNP-0100G,24,23,840
PRI-100010,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-RCP-0100G,48,47,1392
PRI-100011,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-RCP-0200G,72,71,3888
PRI-100012,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-TUR-0100G,48,47,1248
PRI-100013,INV-00004,2023-04-03,2023-04-05,DIST-004,SPC-TUR-0200G,72,71,3528
PRI-100014,INV-00002,2023-04-04,2023-04-05,DIST-002,OIL-MUS-0500M,48,47,3600
PRI-100015,INV-00002,2023-04-04,2023-04-05,DIST-002,OIL-MUS-1000M,108,107,14904
PRI-100016,INV-00002,2023-04-04,2023-04-05,DIST-002,OIL-MUS-5000M,40,39,22920
PRI-100017,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-COR-0100G,24,23,624
PRI-100018,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-COR-0200G,24,23,1104
PRI-100019,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-KKM-0050G,24,23,720
PRI-100020,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-KKM-0100G,24,23,1368
PRI-100021,INV-00002,2023-04-04,2023-04-05,DIST-002,SPC-PNP-0050G,24,23,456
